,symbol,category,product_summary,asset_class,inception_date,minimum_investment,expense_ratio,risk_level
10,VWELX,Moderate Allocation,"Founded in 1929, Wellington™ Fund is Vanguard’s oldest mutual fund and the nation’s oldest balanced fund. It offers exposure to stocks (about two-thirds of the portfolio) and bonds (one-third of the portfolio). Another key attribute is broad diversification—the fund invests in stocks and bonds across all economic sectors. This is important because one or two holdings should not have a sizeable impact on the fund. Investors with a long-term time horizon who want growth and are willing to accept stock market volatility may wish to consider this as a core holding in their portfolio.",Balanced,1929-07-01,3000,0.0025,Moderate
11,VGLT,Long Government,Seeks to provide a high and sustainable level of current income.Invests primarily in U.S. Treasury bonds.Maintains a dollar-weighted average maturity of 10 to 25 years.,Long-Term Bond,2009-11-19,1,0.0004,Moderate
12,VCIT,Intermediate-Term Bond,"Seeks to provide a moderate and sustainable level of current income.Invests primarily in high-quality (investment-grade) corporate bonds.Moderate interest rate risk, with a dollar-weighted average maturity of 5 to 10 years.",Intermediate-Term Bond,2009-11-19,1,0.0004,Conservative to Moderate
13,VDADX,Large Blend,"This low-cost index fund seeks to track a benchmark that provides exposure to U.S. companies that have a history of increasing dividends. The fund focuses on high-quality companies that have both the ability and the commitment to grow their dividends over time. One of the fund’s risks is the possibility that returns from dividend-paying stocks will trail returns from the overall stock market during any given period. Another risk is the volatility that comes with the fund’s full exposure to the stock market. An investor with a well-balanced, long-term portfolio who seeks some income and exposure to dividend-focused companies may wish to consider this fund.",Domestic Stock - General,2013-12-19,3000,0.0008,Moderate to Aggressive
14,VWNDX,Large Value,"Since its 1958 inception, this aggressive large-capitalization value fund has held fast to its distinctive strategy. Throughout its history, the fund has sought to be ahead of the market, investing in stocks that are temporarily out of favor, but that the fund’s advisors believe will eventually become profitable investments. This approach can lead to greater short-term volatility because it may take time for the market to recognize a stock’s value. Investors in this fund should have a long-term time horizon and a tolerance for stock market volatility.",Domestic Stock - General,1958-10-23,3000,0.0038,Moderate to Aggressive
15,VCEB,Intermediate-Term Bond,"Important note: The Index excludes the bonds of companies that the Index provider determines engage in (which may include manufacturing, owning, and operating), have a specified level of involvement in, and/or derive threshold amounts of revenue from one or more of the following activities: (i) production, distribution, and retail of adult entertainment materials; (ii) production, distribution, retail, and supply of alcohol related products; (iii) involvement in certain gambling related business activities; (iv) production, distribution, retail, supply, and licensing of, tobacco related products; (v) manufacture of nuclear weapons or key nuclear weapons components; (vi) manufacture of biological and chemical weapons or key biological and chemical weapons components; cluster munitions whole weapons systems, components, or delivery platforms; landmines whole systems or components; or involvement in the production of depleted uranium (DU) weapons, ammunition, and armor; (vii) production of conventional weapons and components or involvement with conventional weapons support systems and services; (viii) production and/or distribution (wholesale or retail) of firearms or small arms ammunition intended for civilian use (companies that cater to the military, government, and law enforcement markets are not included in the foregoing); (ix) ownership or operation of nuclear power plants or active uranium mines; involvement in uranium enrichment and processing; involvement in the design and engineering of nuclear power reactors; or supplying nuclear power activities; and (x) have an industry tie to fossil fuels (thermal coal, oil and gas), in particular, reserve ownership, related revenues and power generation (companies providing evidence of owning metallurgical coal reserves are not included in the foregoing). The level or type of involvement in, or amount of revenue earned from, certain activities or business segments that lead to exclusion by the Index provider can vary from one activity or business segment to another. In addition, the Index methodology excludes the bonds of companies that, as determined by the Index provider, do not meet certain standards defined by the Index provider with respect to an ESG controversies assessment or do not have an ESG controversy assessment score. The ESG controversies assessment measures a company’s involvement in major ESG controversies and how well they adhere to international norms and principles. Where MSCI, the Index provider’s data source, has insufficient or no data available to adequately assess a particular issuer relative to the ESG criteria of the Index, bonds of such issuer may be excluded from the Index until such time as they may be determined to be eligible by MSCI. Additionally, the Index excludes bonds of companies that fail to have at least one woman on their board of directors and companies for which the Index provider does not have board diversity data. The screens for ESG criteria described above do not apply to government-issued bonds (e.g., U.S. Treasury securities), asset-backed securities, mortgage-backed securities, and commercial mortgage-backed securities.",Intermediate-Term Bond,2020-09-22,1,0.0012,Conservative to Moderate
16,VASIX,Conservative Allocation,"The LifeStrategy Funds are a series of broadly diversified, low-cost funds with an all-index, fixed allocation approach that may provide a complete portfolio in a single fund. The four funds, each with a different allocation, target various risk-based objectives. The Income Fund is the most conservative and seeks to provide current income and some capital appreciation. The fund holds 80% of its assets in bonds, a portion of which is allocated to international bonds and 20% in stocks, a portion of which is allocated to international stocks. Investors with a short- to medium-term time horizon who can accept modest movement in share price may wish to consider this fund.",Balanced,1994-09-30,3000,0.0011,Conservative to Moderate
17,VBILX,Intermediate-Term Bond,"This index fund offers a low-cost, diversified approach to bond investing, providing broad exposure to U.S. investment-grade bonds with maturities from five to ten years. Reflecting this goal, the fund invests about 50% of assets in corporate bonds and 50% in U.S. government bonds within that maturity range. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors looking to add a diversified bond fund to their portfolio may wish to consider this fund.",Intermediate-Term Bond,2001-11-12,3000,0.0007,Conservative to Moderate
18,VFMV,Equity,"Advisor uses a rules-based quantitative model to evaluate U.S. common stocks.Fund invests in stocks that together have the potential to generate lower volatility than the broad U.S. equity market. The portfolio includes a diverse mix of stocks representing many different market capitalizations (large, mid, and small), market sectors, and industry groups. Seeks long-term capital appreciation.Typically, at least 80% of the fund’s assets will be invested in securities issued by U.S. companies.",Domestic Stock - General,2018-02-13,1,0.0013,Moderate to Aggressive
19,VEXRX,Small Growth,"This fund seeks to identify small and midsize companies with growth potential. Because it focuses on small and mid-size companies, the fund tends to be more unpredictable than stock funds that focus on larger companies. However, the fund’s use of multiple advisors with diverse strategies, and its broad exposure to more than 500 stocks, can help reduce—but not eliminate—risk that may come from investing in this often-volatile segment of the market. This fund may be considered complementary to a well-diversified, long-term portfolio.",Domestic Stock - More Aggressive,2001-11-12,50000,0.0034,Aggressive
20,VTCLX,Large Blend,"As part of Vanguard’s series of tax-managed investments, this fund offers investors exposure to the mid- and large-capitalization segments of the U.S. stock market. Its unique index-oriented approach attempts to track the benchmark, while minimizing taxable gains and dividend income by purchasing index securities that pay lower dividends. One of the fund’s risks is its exposure to the mid-cap segment of the stock market, which tends to be more volatile than the large-cap market. Investors in a higher tax bracket who have an investment time horizon of five years or longer and a high tolerance for risk may wish to consider this fund complementary to a well-balanced portfolio.",Domestic Stock - General,1994-09-06,10000,0.0009,Moderate to Aggressive
21,VCPAX,Intermediate-Term Bond,"This actively managed fund seeks to provide broadly diversified exposure primarily to the U.S. investment-grade bond market, with selective exposure to below-investment-grade bonds and debt from other countries, including emerging markets. The low-cost fund invests in U.S. Treasury, mortgage-backed, and corporate securities, and emerging markets debt of varying yields, maturities, and credit qualities. Using a disciplined, risk-controlled approach, the fund seeks to outperform its benchmark through security selection, sector allocation, and duration decisions. Like other bond funds, the fund is subject to interest rate risk; increases in interest rates may cause the price of the bonds in the portfolio to decrease, reducing the fund’s net asset value. This fund is expected to have a moderate allocation to lower-credit-quality securities, so it is also subject to credit risk; negative perceptions about an issuer’s ability to make its interest or principal payments in a timely manner may cause the price of that bond to decrease. Since the fund invests in all major segments, maturities, and qualities of the fixed income market, investors willing to accept additional risk in their fixed income allocation may consider the fund as a core bond holding.",Intermediate-Term Bond,2021-10-25,50000,0.002,Conservative to Moderate
22,VGCAX,World Bond,"This fund seeks to provide a moderate and sustainable level of current income by investing in a diversified portfolio of global credit bonds. The fund is actively managed and invests primarily in investment-grade corporate and non-corporate obligations, excluding government-guaranteed issues. The portfolio invests in U.S. and non-U.S. securities including developed and emerging markets. The majority of non-U.S. exposure will be hedged to the U.S. dollar. This hedging enables investors to pursue a globally-diversified credit premium without adding currency risk. Like other bond funds, the fund is subject to interest rate risk; increases in interest rates may lead the price of the bonds in the portfolio to decrease, reducing the fund’s NAV. The fund is also subject to emerging markets risk—bonds in these countries tend to be more volatile and less liquid than those in developed countries—and other international risks, such as country/regional risk. Long-term, risk-tolerant investors who want to diversify their bond portfolio may wish to consider this fund.",Taxable Bond,2018-11-15,50000,0.0025,Conservative to Moderate
23,VSPMX,Mid Blend,"Invests in stocks in the S&P MidCap 400 Index, representing 400 medium-size U.S. companies.Focuses on closely tracking the index’s return, which is considered a gauge of overall U.S. mid-cap stock returns.Offers high potential for investment growth; share value rises and falls more sharply than that of funds holding bonds.More appropriate for long-term goals where your money’s growth is essential.",Domestic Stock - More Aggressive,2011-03-28,5000000,0.0008,Aggressive
24,VSPVX,Large Value,"Invests in stocks in the Standard & Poor’s 500 Value Index, composed of the value companies in the S&P 500.Focuses on closely tracking the index’s return, which is considered a gauge of overall U.S. value stock returns.Offers high potential for investment growth; share value rises and falls more sharply than that of funds holding bonds.More appropriate for long-term goals where your money’s growth is essential.",Domestic Stock - General,2015-03-03,5000000,0.0008,Moderate to Aggressive
25,VFIDX,Intermediate-Term Bond,"This fund provides diversified exposure to medium- and high-quality investment-grade bonds with an average maturity of five to ten years. Reflecting this goal, the fund invests in corporate bonds, pooled consumer loans, and U.S. government bonds within that maturity range. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Because the fund invests in only one maturity segment of the fixed income market, it may be considered complementary to a core bond holding in an investment portfolio.",Intermediate-Term Bond,2001-02-12,50000,0.001,Conservative to Moderate
26,VSMAX,Small Blend,"This low-cost index fund provides broad exposure to the small-capitalization U.S. equity market. The fund seeks to track an index of small-sized companies. One of the fund’s primary risks is its focus on the small-cap arena, which is an often-volatile segment of the market. Investors looking to add a small-cap equity allocation to an already diversified portfolio may wish to consider this option.",Domestic Stock - More Aggressive,2000-11-13,3000,0.0005,Aggressive
27,VNJTX,Muni New Jersey,"The fund’s investment objective is to seek to provide current income that is exempt from both federal and New Jersey personal income taxes. The fund is intended for New Jersey residents only. It invests primarily in high-quality municipal bonds issued by New Jersey state and local governments, as well as by regional government and public financing authorities. Under normal circumstances, at least 80% of the fund’s assets will be invested in securities whose income is exempt from federal and New Jersey state taxes. Although the fund has no limitations on the maturities of individual securities, its dollar-weighted average maturity is expected to be between 10 and 25 years. The fund has an average duration of approximately 6-10 years, making its share price considerably more susceptible to changes in interest rates than shorter-term bond funds. Investors who are looking for a fund that may provide federal and New Jersey state tax-exempt interest income and can tolerate interest rate risk may wish to consider this fund.",Long-Term Bond,1988-02-03,3000,0.0017,Moderate
28,VMNIX,Long-Short,"This fund has a unique and complex investment approach, compared with other Vanguard funds. Its goal is to “neutralize,” or limit, the effect of stock market movement on returns. Because of this, the fund’s return is often uncorrelated to that of the stock market. Unlike other Vanguard funds, this fund uses long- and short-selling strategies, which involve specific risks not apparent in traditional mutual funds. The fund may be appropriate for a small portion of an already well-diversified portfolio.",Domestic Stock - General,1998-10-19,5000000,0.0177,Moderate to Aggressive
29,VICSX,Intermediate-Term Bond,"This low-cost index fund invests in U.S. dollar-denominated, investment-grade, fixed-rate, taxable securities issued by industrial, utility, and financial companies, with maturities between 5 and 10 years. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors who are looking for a fund that seeks to provide interest income and are able to tolerate moderate price and income fluctuations may wish to consider this fund.",Intermediate-Term Bond,2010-03-02,3000,0.0007,Conservative to Moderate
30,BNDX,World Bond,"Seeks to track the performance of the Bloomberg Global Aggregate ex-USD Float Adjusted RIC Capped Index (USD Hedged).Employs hedging strategies that seek to mitigate uncertainty in exchange rates.Passively managed, using index sampling.Fund remains fully invested.Broad exposure across major bond markets outside of the United States.Low expenses minimize net tracking error.",Taxable Bond,2013-05-31,1,0.0007,Conservative to Moderate
31,VUSTX,Long Government,"This fund at a minimum invests 80% of the assets in debt issued directly by the government in the form of Treasury bills, notes or bonds (including inflation-protected securities) and may invest in other securities including, but not limited to debt issued by federal agencies that are sponsored, guaranteed, or owned by the federal government.. A key risk of the fund is the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors who are looking for a fund that seeks to provide interest income and are able to tolerate significant interest rate risk may wish to consider this fund.",Long-Term Bond,1986-05-19,3000,0.002,Moderate
32,VEXPX,Small Growth,"This fund seeks to identify small and midsize companies with growth potential. Because it focuses on small and mid-size companies, the fund tends to be more unpredictable than stock funds that focus on larger companies. However, the fund’s use of multiple advisors with diverse strategies, and its broad exposure to more than 500 stocks, can help reduce—but not eliminate—risk that may come from investing in this often-volatile segment of the market. This fund may be considered complementary to a well-diversified, long-term portfolio.",Domestic Stock - More Aggressive,1967-12-11,3000,0.0045,Aggressive
33,VMBIX,Intermediate Government,"This low-cost index fund invests in U.S. mortgage-backed pass-through securities issued by the Government National Mortgage Association (GNMA), the Federal National Mortgage Association (FNMA), and the Federal Home Loan Mortgage Corporation (FHLMC). In addition to other bond market risks, the fund is subject to prepayment risk. When mortgage refinance activity is high, the yield on the fund is likely to decrease. Investors with a medium-term time horizon and a goal of monthly income may wish to consider this fund for the fixed income portion of their portfolio.",Intermediate-Term Bond,2013-10-31,5000000,0.0005,Conservative to Moderate
34,VFIFX,Target-Date 2046-2050,Vanguard Target Retirement Funds offer a diversified portfolio within a single fund that adjusts its underlying asset mix over time. The funds provide broad diversification while incrementally decreasing exposure to stocks and increasing exposure to bonds as each fund’s target retirement date approaches. The funds continue to adjust for approximately seven years after that date until their allocations match that of the Target Retirement Income Fund. Investors in the funds should be able to tolerate the risks that come from the volatility of the stock and bond markets. You may wish to consider this fund if you’re planning to retire between 2048 and 2052.,Balanced,2006-06-07,1000,0.0008,Moderate to Aggressive
35,VEMBX,Emerging Markets Bond,"This fund seeks to provide total return while generating a moderate level of current income through investing in bonds in emerging economies. Like other bond funds, the fund is subject to interest rate risk; increases in interest rates may cause the price of the bonds in the portfolio to decrease, reducing the fund’s NAV. The fund is also subject to emerging markets risk—bonds in these countries tend to be more volatile and less liquid than those in developed countries—and other international risks, such as country/regional risk. The fund does subject U.S.-based investors to currency risk as it has the ability to invest in local currency denominated bonds on an unhedged basis but the majority of bonds are expected to be invested in in U.S. dollar-denominated bonds or hedged back to the U.S. dollar. Long-term, risk-tolerant investors who want to diversify their bond portfolio may wish to consider this fund.",Taxable Bond,2016-03-10,3000,0.0055,Moderate
36,VMIAX,Natural Resources,"This low-cost index fund offers exposure to the materials sector of the U.S. equity market, which includes stocks of companies that process raw materials. The fund’s main risk is its narrow scope—it invests solely in materials stocks. An investor should expect high volatility from the fund, which should be considered only as a small portion of an already well-diversified portfolio.",Domestic Stock - Sector-Specific,2004-02-11,100000,0.001,Aggressive
37,VEIGX,World Stock,NA,International/Global Stock,2019-06-05,3000,0.0057,Moderate to Aggressive
38,VWNFX,Large Value,"Like many individuals making a big purchase, Windsor™ II Fund’s investment managers are mindful of price. While this large-cap value stock fund carries the same risk associated with the stock market, this “value” conscious approach may provide a less bumpy ride. That said, the fund may not keep up in a strong bull market. If you have a long-term investment goal and want less market volatility than might be present in a more aggressive investment, the fund could be a good fit for you.",Domestic Stock - General,1985-06-24,3000,0.0034,Moderate to Aggressive
39,VSCGX,Conservative Allocation,"The LifeStrategy Funds are a series of broadly diversified, low-cost funds with an all-index, fixed allocation approach that may provide a complete portfolio in a single fund. The four funds, each with a different allocation, target various risk-based objectives. The Conservative Growth Fund seeks to provide current income and low to moderate capital appreciation. The fund holds 60% of its assets in bonds, a portion of which is allocated to international bonds, and 40% in stocks, a portion of which is allocated to international stocks. Investors with a long-term time horizon who can accept modest movement in share price and can tolerate the risk that comes from the volatility of the stock and bond markets may wish to consider this fund.",Balanced,1994-09-30,3000,0.0012,Moderate
40,VSGBX,Short Government,"The fund’s investment objective is to seek to provide current income while maintaining limited price volatility. Under normal circumstances, the fund will invest at least 80% of its assets in short-term bonds issued or guaranteed by the U.S. government and its agencies, many of which are not backed by the full faith and credit of the U.S. government. The fund is expected to maintain a dollar-weighted average maturity of 1 to 4 years.",Short-Term Bond,1987-12-31,3000,0.002,Conservative
41,VBIUX,Intermediate-Term Bond,"This index fund offers a low-cost, diversified approach to bond investing, providing broad exposure to U.S. investment-grade bonds with maturities from five to ten years. Reflecting this goal, the fund invests about 50% of assets in corporate bonds and 50% in U.S. government bonds within that maturity range. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors looking to add a diversified bond fund to their portfolio may wish to consider this fund.",Intermediate-Term Bond,2011-11-30,100000000,0.0004,Conservative to Moderate
42,VBMPX,Intermediate-Term Bond,"This fund is designed to provide broad exposure to U.S. investment-grade bonds. Reflecting this goal, the fund invests in U.S. Treasuries and mortgage-backed securities of all maturities (short-, intermediate-, and long-term issues). As with other bond funds, one of the risks of the fund is that increases in interest rates may cause the price of the bonds in the portfolio to decrease—pricing the fund’s net asset value (NAV) lower. Because the fund invests in several segments and maturities of the fixed income market, investors may consider the fund their core bond holding.",Intermediate-Term Bond,2010-02-05,100000000,0.0003,Conservative to Moderate
43,VWENX,Moderate Allocation,"Founded in 1929, Wellington™ Fund is Vanguard’s oldest mutual fund and the nation’s oldest balanced fund. It offers exposure to stocks (about two-thirds of the portfolio) and bonds (one-third of the portfolio). Another key attribute is broad diversification—the fund invests in stocks and bonds across all economic sectors. This is important because one or two holdings should not have a sizeable impact on the fund. Investors with a long-term time horizon who want growth and are willing to accept stock market volatility may wish to consider this as a core holding in their portfolio.",Balanced,2001-05-14,50000,0.0017,Moderate
44,VSVNX,Target-Date 2066-2070,Vanguard Target Retirement Funds offer a diversified portfolio within a single fund that adjusts its underlying asset mix over time. The funds provide broad diversification while incrementally decreasing exposure to stocks and increasing exposure to bonds as each fund’s target retirement date approaches. The funds continue to adjust for approximately seven years after that date until their allocations match that of the Target Retirement Income Fund. Investors in the funds should be able to tolerate the risks that come from the volatility of the stock and bond markets. You may wish to consider this fund if you’re planning to retire between 2068 and 2072.,Balanced,2022-06-28,1000,0.0008,Moderate to Aggressive
45,VFMO,Equity, ,Domestic Stock - General,2018-02-13,1,0.0013,Aggressive
46,VFH,Financial,"Seeks to track the performance of a benchmark index that measures the investment return of stocks in the financials sector.Passively managed, using a full-replication strategy when possible and a sampling strategy if regulatory constraints dictate.Includes stocks of companies that provide financial services.",Domestic Stock - Sector-Specific,2004-01-26,1,0.001,Aggressive
47,VIIIX,Large Blend,"Seeks to track the performance of the Standard & Poor’s 500 Index, which measures the investment return of large-capitalization stocks.  Follows a passively managed, full-replication approach.  Provides a convenient way to match the performance of a substantial portion of the nation’s largest stocks. ",Domestic Stock - General,1997-07-07,100000000,0.0002,Moderate to Aggressive
48,MGK,Large Growth,"With respect to 75% of its total assets, the fund may not: (1) purchase more than 10% of the outstanding voting securities of any one issuer or (2) purchase securities of any issuer if, as a result, more than 5% of the fund’s total assets would be invested in that issuer’s securities; except as may be necessary to approximate the composition of its target index. This limitation does not apply to obligations of the U.S. government or its agencies or instrumentalities.",Domestic Stock - General,2007-12-17,1,0.0007,Moderate to Aggressive
49,VWIUX,Muni National Interm,"The fund’s investment objective is to seek to provide a moderate and sustainable level of current income that is exempt from federal personal income taxes. The fund has no limitations on the maturity of individual securities but is expected to maintain a dollar-weighted average maturity of 6 to 12 years. At least 75% of the securities held by the fund are municipal bonds in the top three credit-rating categories as determined by a nationally recognized statistical rating organization or, if unrated, determined to be of comparable quality by the advisor. The fund may invest up to 20% of its assets in medium-grade bonds, as determined by a rating organization or by the advisor. The remaining 5% may be invested in securities with lower credit ratings or, if unrated, determined to be of comparable quality by the advisor. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors who are looking for a fund that may provide federal tax-exempt interest income and can tolerate moderate price and income fluctuations may wish to consider this fund.",Intermediate-Term Bond,2001-02-12,50000,0.0009,Conservative to Moderate
50,VINAX,Industrials,"This low-cost index fund offers exposure to the industrials sector of the U.S. equity market, which includes stocks of companies that convert unfinished goods into finished durables used to manufacture other goods or provide services. The fund’s main risk is its narrow scope—it invests solely in industrials stocks. An investor should expect high volatility from the fund, which should be considered only as a small portion of an already well-diversified portfolio.",Domestic Stock - Sector-Specific,2006-05-08,100000,0.001,Aggressive
51,VIEIX,Mid Blend,"This fund offers investors a low-cost way to gain broad exposure to U.S. mid- and small-capitalization stocks in one fund. The fund invests in about 3,000 stocks, which span many different industries and account for about one-fourth of the market-cap of the U.S. stock market. One of the fund’s risks is its full exposure to the mid- and small-cap markets, which tend to be more volatile than the large-cap market. The fund is considered a complement to Vanguard 500 Index Fund. Together they provide exposure to the entire U.S. equity market.",Domestic Stock - More Aggressive,1997-07-07,5000000,0.0005,Aggressive
52,VTSPX,Inflation-Protected Bond,"This fund seeks to track an index that measures the performance of inflation-protected public obligations of the U.S. Treasury that have a remaining maturity of less than five years. The fund is designed to generate returns more closely correlated with realized inflation over the near term, and to offer investors the potential for less volatility of returns relative to a longer-duration TIPS fund. Given its shorter duration, the fund can be expected to have less real interest rate risk, but also lower total returns relative to a longer-duration TIPS fund. The fund invests in bonds that are backed by the full faith and credit of the federal government and whose principal is adjusted semiannually based on inflation. The fund’s income can fluctuate in response to both changes in interest rates and changes in the rate of inflation. The fund can play a valuable role in already diversified fixed income portfolio by helping to protect investors from inflationary surprises or ”unexpected inflation.”",Inflation-Indexed Securities,2012-10-17,5000000,0.0004,Conservative
53,VTWNX,Target-Date 2016-2020,Vanguard Target Retirement Funds offer a diversified portfolio within a single fund that adjusts its underlying asset mix over time. The funds provide broad diversification while incrementally decreasing exposure to stocks and increasing exposure to bonds as each fund’s target retirement date approaches. The funds continue to adjust for approximately seven years after that date until their allocations match that of the Target Retirement Income Fund. Investors in the funds should be able to tolerate the risks that come from the volatility of the stock and bond markets. You may wish to consider this fund if you’re planning to retire between 2018 and 2022.,Balanced,2006-06-07,1000,0.0008,Moderate
54,VWINX,Conservative Allocation,"This 40 year-old, income-oriented balanced fund offers exposure to stocks and investment-grade bonds. Balanced funds typically offer a higher allocation to stocks; however, this fund is unique in allocating about one-third to stocks and two-thirds to bonds. The fund’s stock holdings are focused on companies that have historically paid a larger-than-average dividend or that have expectations of increasing dividends. This focus may provide a higher quarterly income distribution than non-income-focused balanced funds. Investors with a medium- or long-term time horizon who have a goal of steady income and who are willing to accept modest movement in share price may wish to consider this fund as a core holding in their portfolio.",Balanced,1970-07-01,3000,0.0023,Moderate
55,VQNPX,Large Blend,"This fund seeks to outperform the Standard & Poor’s 500 Index. The fund’s quantitative and fundamental investment approaches result in risk and sector profiles that are similar to those of its benchmark index. The fund has a total return goal, meaning that it seeks both capital appreciation and dividend income. The key risk for the fund is the volatility that comes with its full exposure to the stock market. The fund provides broad exposure to a diverse group of large U.S. companies and may be considered a primary equity holding in a portfolio.Important Note: Wellington Management Company LLP (Wellington Management) has contractually agreed to waive .03% of the management fee on its portion of the fund for a period of one year from August 28, 2023, at which time Wellington Management’s fee will automatically revert to the agreed upon schedule. The contractual waiver may be terminated prior to August 28, 2024, only upon written agreement of the fund and Wellington Management.",Domestic Stock - General,1986-12-10,3000,0.0036,Moderate to Aggressive
