,symbol,category,product_summary,asset_class,risk_level,region,sector
26,VUSTX,Long Government,"This fund at a minimum invests 80% of the assets in debt issued directly by the government in the form of Treasury bills, notes or bonds (including inflation-protected securities) and may invest in other securities including, but not limited to debt issued by federal agencies that are sponsored, guaranteed, or owned by the federal government.. A key risk of the fund is the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors who are looking for a fund that seeks to provide interest income and are able to tolerate significant interest rate risk may wish to consider this fund.",Fixed Income,3,['North America'],
27,VEXPX,Small Growth,"This fund seeks to identify small and midsize companies with growth potential. Because it focuses on small and mid-size companies, the fund tends to be more unpredictable than stock funds that focus on larger companies. However, the fund’s use of multiple advisors with diverse strategies, and its broad exposure to more than 500 stocks, can help reduce—but not eliminate—risk that may come from investing in this often-volatile segment of the market. This fund may be considered complementary to a well-diversified, long-term portfolio.",Equity,5,['North America'],"['Communication Services', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Real Estate', 'Utilities']"
28,VMBIX,Intermediate Government,"This low-cost index fund invests in U.S. mortgage-backed pass-through securities issued by the Government National Mortgage Association (GNMA), the Federal National Mortgage Association (FNMA), and the Federal Home Loan Mortgage Corporation (FHLMC). In addition to other bond market risks, the fund is subject to prepayment risk. When mortgage refinance activity is high, the yield on the fund is likely to decrease. Investors with a medium-term time horizon and a goal of monthly income may wish to consider this fund for the fixed income portion of their portfolio.",Fixed Income,2,['North America'],
29,VEMBX,Emerging Markets Bond,"This fund seeks to provide total return while generating a moderate level of current income through investing in bonds in emerging economies. Like other bond funds, the fund is subject to interest rate risk; increases in interest rates may cause the price of the bonds in the portfolio to decrease, reducing the fund’s NAV. The fund is also subject to emerging markets risk—bonds in these countries tend to be more volatile and less liquid than those in developed countries—and other international risks, such as country/regional risk. The fund does subject U.S.-based investors to currency risk as it has the ability to invest in local currency denominated bonds on an unhedged basis but the majority of bonds are expected to be invested in in U.S. dollar-denominated bonds or hedged back to the U.S. dollar. Long-term, risk-tolerant investors who want to diversify their bond portfolio may wish to consider this fund.",Fixed Income,3,"['Emerging Markets', 'Europe', 'Middle East', 'North America', 'Other']",
30,VMIAX,Natural Resources,"This low-cost index fund offers exposure to the materials sector of the U.S. equity market, which includes stocks of companies that process raw materials. The fund’s main risk is its narrow scope—it invests solely in materials stocks. An investor should expect high volatility from the fund, which should be considered only as a small portion of an already well-diversified portfolio.",Equity,5,['North America'],"['Aluminum', 'Commodity Chemicals', 'Construction Materials', 'Copper', 'Diversified Chemicals', 'Diversified Metals & Mining', 'Fertilizers & Agricultural Chemicals', 'Forest Products', 'Gold', 'Industrial Gases', 'Metal, Glass & Plastic Containers', 'Paper & Plastic Packaging Products & Materials', 'Paper Products', 'Silver', 'Specialty Chemicals', 'Steel']"
31,VWNFX,Large Value,"Like many individuals making a big purchase, Windsor™ II Fund’s investment managers are mindful of price. While this large-cap value stock fund carries the same risk associated with the stock market, this “value” conscious approach may provide a less bumpy ride. That said, the fund may not keep up in a strong bull market. If you have a long-term investment goal and want less market volatility than might be present in a more aggressive investment, the fund could be a good fit for you.",Equity,4,['North America'],"['Communication Services', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Real Estate', 'Utilities']"
32,VSGBX,Short Government,"The fund’s investment objective is to seek to provide current income while maintaining limited price volatility. Under normal circumstances, the fund will invest at least 80% of its assets in short-term bonds issued or guaranteed by the U.S. government and its agencies, many of which are not backed by the full faith and credit of the U.S. government. The fund is expected to maintain a dollar-weighted average maturity of 1 to 4 years.",Fixed Income,1,['North America'],
33,VBIUX,Intermediate-Term Bond,"This index fund offers a low-cost, diversified approach to bond investing, providing broad exposure to U.S. investment-grade bonds with maturities from five to ten years. Reflecting this goal, the fund invests about 50% of assets in corporate bonds and 50% in U.S. government bonds within that maturity range. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors looking to add a diversified bond fund to their portfolio may wish to consider this fund.",Fixed Income,2,['North America'],
34,VBMPX,Intermediate-Term Bond,"This fund is designed to provide broad exposure to U.S. investment-grade bonds. Reflecting this goal, the fund invests in U.S. Treasuries and mortgage-backed securities of all maturities (short-, intermediate-, and long-term issues). As with other bond funds, one of the risks of the fund is that increases in interest rates may cause the price of the bonds in the portfolio to decrease—pricing the fund’s net asset value (NAV) lower. Because the fund invests in several segments and maturities of the fixed income market, investors may consider the fund their core bond holding.",Fixed Income,2,['North America'],
35,VFMO,Equity, ,Equity,5,['North America'],"['Basic Materials', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Real Estate', 'Technology', 'Telecommunications', 'Utilities']"
36,VFH,Financial,"Seeks to track the performance of a benchmark index that measures the investment return of stocks in the financials sector.Passively managed, using a full-replication strategy when possible and a sampling strategy if regulatory constraints dictate.Includes stocks of companies that provide financial services.",Equity,5,['North America'],"['Asset Management & Custody Banks', 'Commercial & Residential Mortgage Financ', 'Consumer Finance', 'Diversified Banks', 'Diversified Financial Services', 'Financial Exchanges & Data', 'Insurance Brokers', 'Investment Banking & Brokerage', 'Life & Health Insurance', 'Mortgage REITs', 'Multi-line Insurance', 'Multi-Sector Holdings', 'Property & Casualty Insurance', 'Regional Banks', 'Reinsurance', 'Transaction & Payment Processing Service']"
37,VIIIX,Large Blend,"Seeks to track the performance of the Standard & Poor’s 500 Index, which measures the investment return of large-capitalization stocks.  Follows a passively managed, full-replication approach.  Provides a convenient way to match the performance of a substantial portion of the nation’s largest stocks. ",Equity,4,['North America'],"['Communication Services', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Real Estate', 'Utilities']"
38,MGK,Large Growth,"With respect to 75% of its total assets, the fund may not: (1) purchase more than 10% of the outstanding voting securities of any one issuer or (2) purchase securities of any issuer if, as a result, more than 5% of the fund’s total assets would be invested in that issuer’s securities; except as may be necessary to approximate the composition of its target index. This limitation does not apply to obligations of the U.S. government or its agencies or instrumentalities.",Equity,4,['North America'],"['Basic Materials', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Real Estate', 'Technology', 'Telecommunications']"
39,VWIUX,Muni National Interm,"The fund’s investment objective is to seek to provide a moderate and sustainable level of current income that is exempt from federal personal income taxes. The fund has no limitations on the maturity of individual securities but is expected to maintain a dollar-weighted average maturity of 6 to 12 years. At least 75% of the securities held by the fund are municipal bonds in the top three credit-rating categories as determined by a nationally recognized statistical rating organization or, if unrated, determined to be of comparable quality by the advisor. The fund may invest up to 20% of its assets in medium-grade bonds, as determined by a rating organization or by the advisor. The remaining 5% may be invested in securities with lower credit ratings or, if unrated, determined to be of comparable quality by the advisor. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors who are looking for a fund that may provide federal tax-exempt interest income and can tolerate moderate price and income fluctuations may wish to consider this fund.",Fixed Income,2,['North America'],
40,VINAX,Industrials,"This low-cost index fund offers exposure to the industrials sector of the U.S. equity market, which includes stocks of companies that convert unfinished goods into finished durables used to manufacture other goods or provide services. The fund’s main risk is its narrow scope—it invests solely in industrials stocks. An investor should expect high volatility from the fund, which should be considered only as a small portion of an already well-diversified portfolio.",Equity,5,['North America'],"['Aerospace & Defense', 'Agricultural & Farm Machinery', 'Air Freight & Logistics', 'Building Products', 'Cargo Ground Transportation', 'Commercial Printing', 'Construction & Engineering', 'Construction Machinery & Heavy Transportation Equipment', 'Data Processing & Outsourced Services', 'Diversified Support Services', 'Electrical Components & Equipment', 'Environmental & Facilities Services', 'Heavy Electrical Equipment', 'Human Resource & Employment Services', 'Industrial Conglomerates', 'Industrial Machinery & Supplies & Components', 'Marine Transportation', 'Office Services & Supplies', 'Passenger Airlines', 'Passenger Ground Transportation', 'Rail Transportation', 'Research & Consulting Services', 'Security & Alarm Services', 'Trading Companies & Distributors']"
41,VIEIX,Mid Blend,"This fund offers investors a low-cost way to gain broad exposure to U.S. mid- and small-capitalization stocks in one fund. The fund invests in about 3,000 stocks, which span many different industries and account for about one-fourth of the market-cap of the U.S. stock market. One of the fund’s risks is its full exposure to the mid- and small-cap markets, which tend to be more volatile than the large-cap market. The fund is considered a complement to Vanguard 500 Index Fund. Together they provide exposure to the entire U.S. equity market.",Equity,5,['North America'],"['Communication Services', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Real Estate', 'Utilities']"
42,VQNPX,Large Blend,"This fund seeks to outperform the Standard & Poor’s 500 Index. The fund’s quantitative and fundamental investment approaches result in risk and sector profiles that are similar to those of its benchmark index. The fund has a total return goal, meaning that it seeks both capital appreciation and dividend income. The key risk for the fund is the volatility that comes with its full exposure to the stock market. The fund provides broad exposure to a diverse group of large U.S. companies and may be considered a primary equity holding in a portfolio.Important Note: Wellington Management Company LLP (Wellington Management) has contractually agreed to waive .03% of the management fee on its portion of the fund for a period of one year from August 28, 2023, at which time Wellington Management’s fee will automatically revert to the agreed upon schedule. The contractual waiver may be terminated prior to August 28, 2024, only upon written agreement of the fund and Wellington Management.",Equity,4,['North America'],"['Communication Services', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Real Estate', 'Utilities']"
43,VTWO,Small Blend,"Invests in stocks in the Russell 2000 Index, a broadly diversified index predominantly made up of stocks of small U.S. companies.Seeks to closely track the index’s return, which is considered a gauge of small-cap U.S. stock returns.Offers high potential for investment growth; share value typically rises and falls more sharply than that of funds holding bonds.More appropriate for long-term goals where your money’s growth is essential.",Equity,5,['North America'],"['Basic Materials', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Real Estate', 'Technology', 'Telecommunications', 'Utilities']"
44,VIOG,Small Growth,"On February 22, 2023, Vanguard announced that the ETF will complete a 2:1 share split effective March 14, 2023. The share split results in a decrease of the price per share of the ETF with a proportionate increase in the number of shares outstanding. Historical share price data will not be adjusted for the split. Although certain data may reflect both pre- and post-split prices, returns are not impacted.",Equity,5,['North America'],"['Communication Services', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Real Estate', 'Utilities']"
45,VTMNX,Foreign Large Blend,"This index fund provides investors low-cost, diversified exposure to large-, mid-, and small-capitalization companies in developed markets outside of the United States.",Equity,5,"['Emerging Markets', 'Europe', 'Pacific', 'Middle East', 'North America', 'Other']",
46,VDIGX,Large Blend,"This fund is designed to provide investors with some income while offering exposure to dividend-focused companies across all industries. The fund focuses on high-quality companies that have both the ability and the commitment to grow their dividends over time. One of the fund’s risks is the possibility that returns from dividend-paying stocks will trail returns from the overall stock market during any given period. Another risk is the volatility that comes with the fund’s full exposure to the stock market. An investor with a well-balanced, long-term portfolio who seeks exposure to dividend-focused companies may wish to consider this fund.",Equity,4,['North America'],"['Consumer Discretionary', 'Consumer Staples', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Real Estate', 'Utilities']"
47,IVOO,Mid Blend,"On February 22, 2023, Vanguard announced that the ETF will complete a 2:1 share split effective March 14, 2023. The share split results in a decrease of the price per share of the ETF with a proportionate increase in the number of shares outstanding. Historical share price data will not be adjusted for the split. Although certain data may reflect both pre- and post-split prices, returns are not impacted.",Equity,5,['North America'],"['Communication Services', 'Consumer Discretionary', 'Consumer Staples', 'Energy', 'Financials', 'Health Care', 'Industrials', 'Information Technology', 'Materials', 'Real Estate', 'Utilities']"
